item name 2023-09-18 09:00:43,2023-09-18 17:31:36,m/s,℃,6.0,5107,0.08:30:54.6
conditions

Hub No ,HUB01-01CH,HUB01-01CH,HUB01-01CH,HUB01-02CH,HUB01-02CH,HUB01-02CH,HUB01-03CH,HUB01-03CH,HUB01-03CH,HUB01-04CH,HUB01-04CH,HUB01-04CH,HUB01-05CH,HUB01-05CH,HUB01-05CH,HUB01-06CH,HUB01-06CH,HUB01-06CH,HUB01-07CH,HUB01-07CH,HUB01-07CH,HUB01-08CH,HUB01-08CH,HUB01-08CH,HUB01-09CH,HUB01-09CH,HUB01-09CH,HUB01-10CH,HUB01-10CH,HUB01-10CH,HUB01-11CH,HUB01-11CH,HUB01-11CH,HUB01-12CH,HUB01-12CH,HUB01-12CH
Data 1427-0.02:22:42.0 ,0.41,26.20,60.50,0.64,26.40,61.40,0.62,26.40,61.40,0.87,26.00,63.70,0.67,26.30,60.70,0.27,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1428-0.02:22:48.0 ,0.71,26.20,60.50,0.74,26.30,61.40,0.83,26.40,61.50,0.75,25.80,63.70,0.60,26.30,60.70,0.58,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1429-0.02:22:54.0 ,0.55,26.10,60.60,0.72,26.30,61.40,0.48,26.40,61.40,0.85,26.00,63.80,0.56,26.30,60.70,0.32,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1430-0.02:23:00.0 ,0.41,26.20,60.60,0.71,26.30,61.40,0.54,26.40,61.40,0.93,25.90,63.80,0.81,26.30,60.70,0.28,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1431-0.02:23:06.0 ,0.66,26.20,60.70,0.36,26.30,61.40,0.81,26.40,61.30,0.79,26.00,63.80,0.49,26.20,60.70,0.51,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1432-0.02:23:12.0 ,0.50,26.20,60.60,0.51,26.20,61.40,0.76,26.40,61.30,0.86,25.90,63.70,0.73,26.40,60.70,0.38,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1433-0.02:23:18.0 ,0.50,26.20,60.60,0.84,26.10,61.30,0.76,26.40,61.40,0.92,25.80,63.70,0.48,26.30,60.70,0.46,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1434-0.02:23:24.0 ,0.64,26.20,60.60,0.50,26.20,61.30,0.61,26.40,61.30,0.80,25.80,63.70,0.72,26.40,60.70,0.61,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1435-0.02:23:30.0 ,0.67,26.20,60.60,0.65,26.30,61.40,0.57,26.40,61.30,0.88,26.00,63.80,0.50,26.30,60.70,0.55,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1436-0.02:23:36.0 ,0.64,26.10,60.60,0.57,26.20,61.40,0.63,26.40,61.40,0.83,25.80,63.80,0.74,26.30,60.70,0.32,26.10,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1437-0.02:23:42.0 ,0.75,26.10,60.70,0.56,26.20,61.40,0.73,26.40,61.30,0.66,25.80,63.80,0.62,26.30,60.80,0.49,26.30,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1438-0.02:23:48.0 ,0.45,26.10,60.70,0.54,26.20,61.50,0.86,26.40,61.30,0.80,25.80,63.80,0.50,26.30,60.80,0.41,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1439-0.02:23:54.0 ,0.41,26.00,60.70,0.52,26.10,61.50,0.72,26.40,61.30,0.66,25.80,63.80,0.49,26.20,60.80,0.51,26.10,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1440-0.02:24:00.0 ,0.79,26.00,60.70,0.66,26.10,61.50,0.69,26.40,61.30,0.93,25.80,63.80,0.62,26.30,60.80,0.63,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1441-0.02:24:06.0 ,0.48,26.10,60.70,0.66,26.20,61.60,0.84,26.40,61.20,0.92,26.00,63.80,0.50,26.20,60.80,0.64,26.30,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1442-0.02:24:12.0 ,0.45,26.20,60.70,0.63,26.30,61.60,0.64,26.40,61.30,0.69,26.00,63.80,0.92,26.20,60.80,0.50,26.10,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1443-0.02:24:18.0 ,0.29,26.20,60.80,0.66,26.20,61.60,0.74,26.40,61.40,0.71,26.00,63.80,0.64,26.20,60.80,0.40,26.10,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1444-0.02:24:24.0 ,0.27,26.20,60.80,0.35,26.20,61.60,0.45,26.40,61.30,0.83,26.00,63.80,0.39,26.20,60.80,0.55,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1445-0.02:24:30.0 ,0.37,26.20,60.80,0.57,26.20,61.60,0.62,26.40,61.20,0.42,25.80,63.80,0.50,26.30,60.80,0.34,26.30,61.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1446-0.02:24:36.0 ,0.47,26.10,60.80,0.54,26.20,61.60,0.54,26.40,61.20,0.81,25.90,63.80,0.67,26.30,60.80,0.37,26.30,61.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1447-0.02:24:42.0 ,0.63,26.20,60.80,0.60,26.20,61.50,0.79,26.30,61.20,0.65,25.80,63.90,0.59,26.20,60.80,0.50,26.30,61.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1448-0.02:24:48.0 ,0.57,26.20,60.80,0.56,26.20,61.60,0.58,26.30,61.30,0.88,25.90,63.90,0.53,26.20,60.80,0.29,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1449-0.02:24:54.0 ,0.42,26.00,60.80,0.31,26.10,61.60,0.62,26.40,61.30,0.59,25.90,63.90,0.62,26.10,60.80,0.61,26.30,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1450-0.02:25:00.0 ,0.62,26.10,60.80,0.42,26.20,61.60,0.69,26.30,61.20,0.53,25.80,63.90,0.60,26.10,60.80,0.62,26.30,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1451-0.02:25:06.0 ,0.57,26.10,60.80,0.45,26.30,61.60,0.56,26.30,61.20,0.77,25.90,63.90,0.72,26.10,60.80,0.51,26.30,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1452-0.02:25:12.0 ,0.54,26.00,60.90,0.23,26.10,61.60,0.53,26.30,61.20,0.64,26.00,63.90,0.71,26.10,60.80,0.61,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1453-0.02:25:18.0 ,0.52,26.00,60.80,0.62,26.20,61.50,0.56,26.40,61.20,0.72,25.80,63.80,0.53,26.10,60.80,0.59,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1454-0.02:25:24.0 ,0.33,26.00,60.80,0.59,26.10,61.60,0.68,26.40,61.10,0.48,25.90,63.80,0.63,26.10,60.90,0.51,26.40,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1455-0.02:25:30.0 ,0.65,26.10,60.90,0.48,26.10,61.50,0.73,26.40,61.10,0.51,25.90,63.80,0.65,26.10,60.90,0.46,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1456-0.02:25:36.0 ,0.54,26.10,60.90,0.48,26.10,61.50,0.65,26.40,61.10,0.66,25.80,63.80,0.58,26.20,60.90,0.63,26.30,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1457-0.02:25:42.0 ,0.56,26.10,61.00,0.47,26.20,61.60,0.78,26.40,61.10,0.67,26.00,63.80,0.64,26.20,60.90,0.56,26.30,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1458-0.02:25:48.0 ,0.42,26.10,61.00,0.58,26.30,61.60,0.66,26.30,61.20,0.76,26.00,63.80,0.65,26.20,61.00,0.42,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1459-0.02:25:54.0 ,0.70,26.10,60.90,0.71,26.20,61.60,0.60,26.30,61.30,0.54,25.80,63.80,0.57,26.10,61.00,0.62,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1460-0.02:26:00.0 ,0.41,26.00,60.90,0.62,26.20,61.60,0.34,26.20,61.20,0.59,25.80,63.90,0.74,26.10,61.00,0.39,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1461-0.02:26:06.0 ,0.30,25.90,60.90,0.35,26.10,61.60,0.52,26.30,61.20,0.71,25.80,63.90,0.54,26.10,61.00,0.32,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1462-0.02:26:12.0 ,0.65,26.00,60.90,0.41,26.10,61.70,0.45,26.30,61.20,0.83,26.00,63.90,0.63,26.10,61.00,0.57,26.30,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1463-0.02:26:18.0 ,0.63,26.10,60.90,0.20,26.10,61.60,0.60,26.40,61.20,0.81,25.90,63.90,0.64,26.10,61.00,0.40,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1464-0.02:26:24.0 ,0.47,26.00,61.00,0.51,26.10,61.60,0.46,26.30,61.20,0.57,26.00,63.80,0.68,26.10,61.00,0.68,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1465-0.02:26:30.0 ,0.44,26.00,60.90,0.66,26.20,61.60,0.57,26.30,61.20,0.79,25.90,63.80,0.64,26.10,61.00,0.42,26.10,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1466-0.02:26:36.0 ,0.27,26.00,60.90,0.48,26.20,61.70,0.55,26.20,61.30,0.60,25.80,63.80,0.49,26.10,61.10,0.38,26.00,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1467-0.02:26:42.0 ,0.36,26.00,60.90,0.41,26.20,61.70,0.56,26.30,61.20,0.59,25.80,63.80,0.48,26.10,61.10,0.21,26.00,61.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1468-0.02:26:48.0 ,0.54,26.00,60.80,0.43,26.20,61.60,0.76,26.30,61.20,0.67,25.80,63.80,0.50,26.10,61.10,0.35,26.10,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1469-0.02:26:54.0 ,0.59,26.00,60.90,0.52,26.20,61.60,0.87,26.30,61.20,0.67,25.80,63.80,0.46,26.10,61.10,0.51,26.10,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1470-0.02:27:00.0 ,0.58,25.90,61.00,0.41,26.10,61.60,0.55,26.30,61.30,0.70,25.70,63.80,0.59,26.10,61.10,0.53,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1471-0.02:27:06.0 ,0.47,25.90,61.00,0.54,26.10,61.60,0.50,26.30,61.30,0.35,25.70,63.90,0.40,26.10,61.10,0.61,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1472-0.02:27:12.0 ,0.44,25.90,61.00,0.47,26.00,61.60,0.56,26.30,61.20,0.36,25.70,63.90,0.58,26.10,61.00,0.62,26.30,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1473-0.02:27:18.0 ,0.66,25.90,60.90,0.32,26.00,61.60,0.64,26.30,61.10,0.72,25.80,63.80,0.55,26.10,61.00,0.40,26.10,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1474-0.02:27:24.0 ,0.66,25.90,61.00,0.67,26.10,61.50,0.54,26.20,61.20,0.80,25.80,63.90,0.58,26.10,61.00,0.62,26.30,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1475-0.02:27:30.0 ,0.63,25.90,61.00,0.37,26.10,61.50,0.61,26.30,61.20,0.67,25.70,63.90,0.60,26.10,61.00,0.68,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1476-0.02:27:36.0 ,0.65,26.00,61.10,0.52,26.10,61.60,0.68,26.30,61.30,0.63,25.80,63.90,0.58,26.10,61.00,0.53,26.10,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1477-0.02:27:42.0 ,0.45,25.90,61.10,0.62,26.10,61.70,0.70,26.30,61.30,0.48,25.80,63.90,0.48,26.10,61.00,0.48,26.10,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1478-0.02:27:48.0 ,0.56,25.90,61.00,0.58,26.10,61.70,0.61,26.30,61.20,0.74,25.80,63.90,0.51,26.10,61.00,0.60,26.10,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1479-0.02:27:54.0 ,0.52,26.00,61.00,0.55,26.10,61.80,0.70,26.30,61.20,0.64,25.90,63.90,0.62,25.90,61.00,0.47,26.10,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1480-0.02:28:00.0 ,0.47,26.00,61.10,0.46,26.10,61.80,0.67,26.20,61.20,0.67,26.00,63.90,0.59,25.90,61.00,0.54,26.10,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1481-0.02:28:06.0 ,0.50,26.00,61.10,0.42,26.10,61.70,0.47,26.20,61.20,0.43,25.60,63.80,0.67,25.90,61.00,0.50,26.00,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1482-0.02:28:12.0 ,0.53,26.00,61.00,0.41,26.10,61.70,0.57,26.20,61.20,0.78,25.70,63.80,0.66,25.90,61.10,0.29,26.10,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1483-0.02:28:18.0 ,0.51,26.00,61.00,0.58,26.10,61.70,0.54,26.30,61.20,0.58,25.60,63.80,0.51,25.90,61.10,0.75,26.20,61.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1484-0.02:28:24.0 ,0.46,26.00,61.00,0.42,26.10,61.70,0.77,26.20,61.20,0.84,25.80,63.90,0.69,26.00,61.10,0.47,26.10,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1485-0.02:28:30.0 ,0.45,26.00,61.10,0.51,26.10,61.70,0.64,26.20,61.20,0.63,25.90,63.90,0.61,26.00,61.20,0.55,26.10,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1486-0.02:28:36.0 ,0.43,25.90,61.10,0.60,26.10,61.70,0.63,26.20,61.20,0.46,25.80,63.90,0.59,26.10,61.20,0.65,26.20,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1487-0.02:28:42.0 ,0.29,25.80,61.10,0.44,26.10,61.70,0.69,26.20,61.20,0.61,25.70,64.00,0.61,26.10,61.30,0.55,26.00,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1488-0.02:28:48.0 ,0.33,25.90,61.10,0.74,26.10,61.70,0.51,26.20,61.20,0.74,25.80,64.10,0.59,26.10,61.30,0.59,26.00,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1489-0.02:28:54.0 ,0.76,26.00,61.10,0.44,26.10,61.70,0.66,26.20,61.20,0.50,25.80,64.10,0.69,26.10,61.30,0.44,26.00,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1490-0.02:29:00.0 ,0.56,25.90,61.20,0.40,26.10,61.80,0.20,26.30,61.20,0.62,25.60,64.10,0.65,26.10,61.30,0.32,26.00,61.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1491-0.02:29:06.0 ,0.53,25.90,61.30,0.71,26.10,61.80,0.38,26.30,61.10,0.67,25.80,64.20,0.59,26.10,61.40,0.59,26.20,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1492-0.02:29:12.0 ,0.54,26.00,61.30,0.50,26.10,61.90,0.68,26.30,61.10,0.67,25.70,64.20,0.71,26.00,61.40,0.65,26.30,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1493-0.02:29:18.0 ,0.48,25.90,61.30,0.54,26.00,61.90,0.65,26.20,61.20,0.56,25.60,64.20,0.54,26.00,61.40,0.45,26.20,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1494-0.02:29:24.0 ,0.61,26.00,61.30,0.46,26.00,61.90,0.53,26.20,61.20,0.63,25.60,64.30,0.56,25.90,61.50,0.55,26.20,62.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1495-0.02:29:30.0 ,0.36,25.90,61.30,0.49,26.00,62.00,0.38,26.20,61.30,0.55,25.60,64.40,0.67,25.90,61.50,0.53,26.10,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1496-0.02:29:36.0 ,0.43,25.90,61.40,0.35,26.00,62.00,0.60,26.20,61.30,0.48,25.70,64.40,0.49,25.90,61.50,0.33,26.00,62.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1497-0.02:29:42.0 ,0.66,26.00,61.50,0.33,26.00,62.00,0.59,26.20,61.30,0.43,25.60,64.50,0.58,26.00,61.60,0.31,26.00,62.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1498-0.02:29:48.0 ,0.66,26.00,61.50,0.51,26.10,62.00,0.64,26.20,61.40,0.67,25.70,64.60,0.50,26.10,61.60,0.33,26.10,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1499-0.02:29:54.0 ,0.45,26.00,61.50,0.46,26.00,62.10,0.60,26.20,61.50,0.60,25.60,64.50,0.72,26.00,61.60,0.54,26.00,62.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1500-0.02:30:00.0 ,0.49,26.00,61.50,0.45,26.00,62.10,0.59,26.20,61.50,0.62,25.80,64.40,0.53,25.90,61.60,0.45,26.20,62.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1501-0.02:30:06.0 ,0.41,25.90,61.40,0.62,26.10,62.10,0.52,26.20,61.50,0.46,25.60,64.40,0.67,25.90,61.60,0.40,26.20,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1502-0.02:30:12.0 ,0.47,26.00,61.40,0.54,26.00,62.10,0.50,26.30,61.50,0.78,25.70,64.40,0.51,25.90,61.60,0.57,26.20,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1503-0.02:30:18.0 ,0.44,25.90,61.50,0.74,26.10,62.10,0.66,26.30,61.40,0.53,25.60,64.40,0.67,26.00,61.60,0.41,26.10,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1504-0.02:30:24.0 ,0.61,25.90,61.50,0.46,26.00,62.20,0.51,26.20,61.50,0.30,25.60,64.50,0.62,25.90,61.70,0.43,26.10,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1505-0.02:30:30.0 ,0.50,25.90,61.60,0.47,26.00,62.30,0.57,26.20,61.50,0.54,25.60,64.50,0.63,26.00,61.80,0.52,26.10,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1506-0.02:30:36.0 ,0.61,25.90,61.70,0.45,26.10,62.30,0.39,26.20,61.50,0.47,25.80,64.50,0.50,25.90,61.80,0.21,26.10,62.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1507-0.02:30:42.0 ,0.13,25.80,61.60,0.47,26.10,62.30,0.40,26.20,61.50,0.62,25.80,64.50,0.46,25.90,61.70,0.55,26.10,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1508-0.02:30:48.0 ,0.28,25.90,61.60,0.46,26.10,62.30,0.49,26.20,61.50,0.51,25.70,64.50,0.51,25.90,61.70,0.49,26.20,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1509-0.02:30:54.0 ,0.54,26.00,61.70,0.38,26.10,62.30,0.46,26.30,61.50,0.62,25.80,64.60,0.40,26.00,61.70,0.36,26.20,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1510-0.02:31:00.0 ,0.47,26.00,61.70,0.51,26.10,62.40,0.46,26.30,61.50,0.46,25.80,64.60,0.34,25.90,61.70,0.44,26.30,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1511-0.02:31:06.0 ,0.42,25.90,61.80,0.37,26.00,62.40,0.36,26.30,61.50,0.45,25.70,64.50,0.57,25.90,61.80,0.38,26.20,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1512-0.02:31:12.0 ,0.50,26.00,61.80,0.23,26.00,62.40,0.51,26.30,61.60,0.57,25.80,64.60,0.48,26.00,61.80,0.24,26.10,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1513-0.02:31:18.0 ,0.26,25.90,61.80,0.45,26.00,62.40,0.36,26.30,61.60,0.48,25.70,64.60,0.59,25.90,61.80,0.48,26.20,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1514-0.02:31:24.0 ,0.67,25.90,61.80,0.40,26.10,62.40,0.48,26.20,61.50,0.55,25.80,64.60,0.54,25.90,61.80,0.28,26.20,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1515-0.02:31:30.0 ,0.53,25.80,61.80,0.44,26.10,62.40,0.25,26.20,61.60,0.43,25.70,64.60,0.50,25.90,61.80,0.38,26.20,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1516-0.02:31:36.0 ,0.36,25.80,61.80,0.24,26.10,62.40,0.45,26.30,61.60,0.41,25.60,64.60,0.50,25.90,61.80,0.59,26.20,62.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1517-0.02:31:42.0 ,0.51,25.90,61.80,0.34,26.10,62.40,0.37,26.20,61.50,0.57,25.80,64.60,0.61,25.90,61.80,0.26,26.20,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1518-0.02:31:48.0 ,0.38,25.90,61.80,0.53,26.20,62.40,0.41,26.30,61.50,0.44,25.80,64.70,0.57,26.00,61.90,0.65,26.20,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1519-0.02:31:54.0 ,0.56,25.90,61.80,0.39,26.10,62.50,0.54,26.30,61.50,0.55,26.00,64.60,0.59,26.00,61.90,0.50,26.20,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1520-0.02:32:00.0 ,0.44,25.90,61.80,0.20,26.10,62.60,0.37,26.20,61.50,0.38,25.90,64.50,0.64,26.00,61.90,0.52,26.20,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1521-0.02:32:06.0 ,0.45,26.00,61.80,0.52,26.10,62.50,0.26,26.20,61.50,0.32,25.90,64.50,0.58,26.00,61.80,0.55,26.20,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1522-0.02:32:12.0 ,0.51,26.00,61.90,0.54,26.00,62.50,0.58,26.30,61.50,0.49,26.00,64.50,0.42,26.00,61.80,0.36,26.20,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1523-0.02:32:18.0 ,0.47,26.00,61.90,0.33,26.10,62.40,0.46,26.30,61.50,0.47,25.90,64.40,0.53,26.00,61.90,0.42,26.10,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1524-0.02:32:24.0 ,0.40,26.00,61.90,0.15,26.20,62.50,0.51,26.20,61.60,0.54,25.80,64.50,0.51,25.90,61.90,0.44,26.20,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1525-0.02:32:30.0 ,0.62,26.00,62.00,0.24,26.30,63.00,0.50,26.20,61.70,0.46,25.60,64.50,0.35,26.00,61.90,0.17,26.10,62.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1526-0.02:32:36.0 ,0.56,26.00,61.90,0.27,26.30,63.10,0.37,26.20,61.70,0.29,25.70,64.60,0.43,26.00,61.90,0.38,26.20,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1527-0.02:32:42.0 ,0.39,25.90,61.90,0.23,26.20,63.00,0.45,26.20,61.70,0.59,25.80,64.60,0.28,25.90,61.90,0.46,26.20,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1528-0.02:32:48.0 ,0.26,25.90,61.90,0.35,26.20,62.70,0.53,26.20,61.70,0.49,25.80,64.60,0.54,26.00,61.90,0.45,26.30,62.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1529-0.02:32:54.0 ,0.49,26.00,61.80,0.33,26.20,62.50,0.58,26.20,61.70,0.43,25.80,64.60,0.46,25.90,61.90,0.47,26.30,62.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1530-0.02:33:00.0 ,0.47,26.00,61.80,0.31,26.10,62.30,0.83,26.20,61.80,0.44,25.90,64.60,0.47,25.90,61.90,0.42,26.30,62.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1531-0.02:33:06.0 ,0.22,26.00,62.00,0.44,26.20,62.40,0.32,26.20,61.80,0.28,25.80,64.50,0.29,26.00,61.90,0.26,26.10,62.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1532-0.02:33:12.0 ,0.27,26.00,62.10,0.25,26.20,62.50,0.56,26.20,61.70,0.50,25.90,64.50,0.52,26.00,61.90,0.39,26.10,62.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1533-0.02:33:18.0 ,0.42,26.10,62.10,0.32,26.20,62.40,0.61,26.20,61.70,0.41,25.90,64.50,0.38,25.90,61.90,0.57,26.10,62.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 1534-0.02:33:24.0 ,0.39,26.00,62.00,0.23,26.30,62.30,0.60,26.20,61.80,0.38,25.90,64.50,0.48,25.90,61.90,0.34,26.10,62.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
